 name   	 symbol                          	chromosome	start	end	stage	# footprints	Factors
 CE1000 	 E74 Promoter                    	chr3L	17584383	17585054		8	z Trl Trl z Trl Trl Trl Trl
 CE1004 	 h stripe 6                      	chr3L	8640795	8641343	a-p	25	kni hb Kr kni hb bcd Kr kni Kr tll Kr hb hb Kr Kr bcd hb Kr hb tll bcd hb hb Kr kni
 CE1006 	 Fbp1 enhancer                   	chr3L	14063388	14063461		2	srp srp
 CE1007 	 DNA IIA237 enhancer             	chr2R	5447092	5447330		2	tin tin
 CE1008 	 475bp sev enhancer              	chrX	10924641	10925118	disk	6	Unspecified Unspecified Unspecified Unspecified Unspecified Unspecified
 CE1010 	 dpp 812bp BE/VM enhancer        	chr2L	2445768	2446580	mes	30	bin bin Ubx abd-A abd-A Ubx Ubx Ubx abd-A Ubx exd Ubx exd Ubx abd-A Ubx bin abd-A Ubx exd abd-A Ubx exd Ubx abd-A abd-A Ubx abd-A Ubx exd
 CE1012 	 h7 element                      	chr3L	8639023	8639956	a-p	41	hb kni hb kni hb kni hb tll bcd kni kni hb hb tll kni bcd Kr tll bcd kni bcd bcd Kr kni Kr kni Kr tll kni kni bcd hb bcd hb tll Kr kni kni hb hb kni
 CE1013 	 Stripe 3+7 enhancer             	chr2R	5487312	5487824	a-p	16	kni hb hb kni hb kni hb hb kni hb hb kni hb hb hb hb
 CE1014 	 1.4kb posterior enhancer region 	chr3R	4526528	4527944	a-p	9	tll tll tll tll tll tll tll tll tll
 CE1016 	 2.7kb Dfd EAE                   	chr3R	2611055	2613713	a-p	15	Dfd Dfd Dfd Dfd exd Dfd Deaf1 Dfd Dfd Dfd Dfd Deaf1 Dfd Dfd Dfd
 CE1018 	 NK-1 promoter                   	chr3R	17382901	17383486		2	Unspecified Unspecified
 CE1019 	 dpp proximal promoter           	chr2L	2454605	2454756		4	Unspecified Adf1 Unspecified Trl
 CE1020 	 DNApol-alpha180_promoter        	chr3R	17497407	17497685		4	Dref Dref zen Dref
 CE1021 	 eve promoter                    	chr2R	5490725	5491230	a-p	18	Unspecified Unspecified Unspecified Unspecified ttk Unspecified ttk prd eve Unspecified Unspecified eve prd Unspecified Unspecified Unspecified Unspecified Unspecified
 CE1022 	 tin B enhancer                  	chr3R	17205669	17206042	mes	3	twi eve twi
 CE1023 	 1.28 DRE                        	chr2R	2013540	2014192	a-p	12	Deaf1 Deaf1 Deaf1 Deaf1 Deaf1 Deaf1 Deaf1 Deaf1 Dfd Dfd Dfd Dfd
 CE1025 	 twist ventral activator         	chr2R	18553274	18553936	d-v	14	Unspecified Unspecified Unspecified dl Unspecified dl Unspecified dl Unspecified dl Unspecified Unspecified Unspecified Unspecified
 CE1026 	 ChAT 0.3kb 5' region            	chr3R	14530829	14531165		2	Unspecified Unspecified
 CE1027 	 eve MAS                         	chr2R	5485688	5485890	a-p	6	eve Unspecified eve Unspecified ttk Unspecified
 CE1028 	 ems enhancer element IV         	chr3R	9720483	9720788		4	bcd bcd tll tll
 CE1029 	 iab-2(1.7) enhancer             	chr3R	12636228	12637974	a-p	11	Kr hb hb hb eve hb eve gt eve eve hb
 CE1030 	 sal enhancer                    	chr2L	11455638	11456155	a-p	18	Kr bcd cad cad cad bcd bcd bcd Kr bcd hkb bcd cad Kr Kr bcd hb hkb
 CE1031 	 en promoter                     	chr2R	7043574	7044213		8	Unspecified Unspecified Unspecified Unspecified Unspecified Unspecified Unspecified Unspecified
 CE1032 	 tin 5' region                   	chr3R	17203781	17205010		1	twi
 CE1033 	 Kr730 element                   	chr2R	20730217	20730937	a-p	19	tll hb hb bcd tll hb tll bcd tll bcd tll hb hb tll hb kni bcd tll gt
 CE1034 	 Ubx BRE enhancer                	chr3R	12526644	12527144	a-p	17	hb twi en ftz hb tll twi ftz tll twi en hb ftz twi ftz hb tll
 CE1035 	 knirps 5' regulatory region     	chr3L	20630363	20631481	a-p	39	Kr hb tll tll hb Kr tll hb Kr tll Kr Kr tll tll tll hb gt hb gt hb hb hb hb bcd His2B His2B His2B His2B cad bcd His2B cad hb cad cad cad cad hb cad
 CE1036 	 eve mesodermal enhancer         	chr2R	5496861	5497749	mes	17	pan Med Med Med pan pan tin pan tin Med tin Med zfh1 pan tin pan pan
 CE1037 	 SRF-A intervein "c" enhancer    	chr2R	19849843	19849969	disk	1	sd
 CE1038 	 omb wing enhancer               	chrX	4231703	4233191	disk	1	brk
 CE1039 	 btl 5'                          	chr3L	14042174	14044600		16	slbo slbo slbo vvl vvl vvl vvl vvl vvl vvl slbo vvl slbo slbo slbo slbo
 CE1041 	 dpp promoter                    	chr2L	2452152	2452471		1	Ubx
 CE1042 	 Antp P1 promoter                	chr3R	2830803	2831280	a-p	3	Ubx Antp Antp
 CE1047 	 E2f promoter                    	chr3R	17458890	17459274		5	Unspecified Dref Dref Unspecified Unspecified
 CE1048 	 tud promoter                    	chr2R	16690690	16691112		1	Trf
 CE1049 	 Antp P2 promoter                	chr3R	2758361	2760662	a-p	64	Unspecified Unspecified Unspecified Unspecified Unspecified Unspecified Ubx Unspecified Unspecified Ubx abd-A Ubx abd-A Ubx abd-A abd-A Ubx Ubx abd-A ftz abd-A Ubx Ubx abd-A abd-A Ubx Ubx abd-A abd-A Ubx Ubx abd-A Ubx abd-A Ubx abd-A abd-A Ubx Ubx abd-A Ubx abd-A abd-A Ubx Ubx abd-A abd-A Ubx Ubx abd-A abd-A Ubx Ubx abd-A abd-A Ubx Ubx abd-A abd-A Ubx Ubx abd-A Ubx abd-A
 CE1050 	 gsb_early_enhancer              	chr2R	20563925	20564959	a-p	19	gsb gsb-n prd gsb prd gsb-n prd prd prd eve ftz ftz eve prd prd eve ftz prd prd
 CE1051 	 slbo  P2                        	chr2R	19841682	19841862		1	slbo
 CE1054 	 otp regulatory region           	chr2R	16406095	16407907	mes	9	byn byn byn byn byn byn byn byn byn
 CE1055 	 slp1                            	chr2L	3823118	3824696	mes	9	pan pan pan pan pan pan pan pan pan
 CE1056 	 eve stripe 2                    	chr2R	5489523	5490195	a-p	24	Kr Kr Kr bcd Kr gt bcd gt Kr Kr Kr bcd Kr Kr bcd Kr gt hb bcd Kr Kr hb Kr hb
 CE1057 	 alpha1 tubulin                  	chr3R	2912163	2913017		14	Trl Unspecified Trl Unspecified Unspecified Trl Unspecified Unspecified Unspecified Unspecified Trl Trl Unspecified Trl
 CE1058 	 Ubx promoter                    	chr3R	12559789	12560360	a-p	20	Ubx zen eve Unspecified zen Unspecified eve Ubx Unspecified Trl z z Trl z Unspecified grh z Trl z Trl
 CE1059 	 KrMT element                    	chr2R	20719278	20719701		1	fkh
 CE1061 	 Race 533bp enhancer             	chr2L	13904731	13905265		3	zen zen zen
 CE1062 	 dorsal vessel enhancer          	chr2R	19811754	19812076	mes	2	tin tin
 CE1063 	 Kr proximal promoter            	chr2R	20734062	20734383	a-p	9	Trl Trl Trl Trl Unspecified Unspecified Trl Trl Trl
 CE1064 	 Trl promoter                    	chr3L	14722407	14723845		27	Trl Trl Trl Trl Trl Trl Trl Trl Trl Trl Trl Trl Trl Trl Trl Trl Trl Trl Trl Trl Trl Trl Trl Trl Trl Trl Trl
 CE1065 	 apME680 enhancer                	chr2R	1216942	1217623	mes	5	Antp Antp Antp Antp Antp
 CE1066 	 1.4dis                          	chr4	79475	80873		2	en en
 CE1067 	 so10 enhancer                   	chr2R	2942898	2943326		8	toy ey ey toy toy toy ey toy
