file	chr	NSpoly	Spoly	Nmel	Nsim	Namb	Smel	Ssim	Samb	MKcodons	avgsample
CG11648-RA.ifa	A	0	13	0	0	0	9	0	1	270	5.10	
CG5939-RA.ifa	A	0	18	2	0	2	10	4	0	879	4.58	
CG11720-RA.ifa	A	0	1	3	1	8	3	4	3	66	4.41	
CG32134-RA.ifa	A	16	69	4	6	6	28	5	11	1027	4.38	
CG10321-RA.ifa	-	1	18	10	12	8	27	20	7	834	3.98	
CG2328-RA.ifa	A	0	0	0	0	0	4	0	0	55	2.15	
CG31240-RA.ifa	A	9	25	2	5	3	17	6	2	606	4.27	
CG3724-RA.ifa	X	0	8	5	0	1	17	8	1	357	2.87	
CG9741-RA.ifa	A	1	14	2	3	1	14	12	1	405	4.67	
CG9015-RA.ifa	A	2	38	2	0	0	16	6	1	544	4.23	
CG1772-RA.ifa	A	1	5	1	3	2	7	7	3	243	4.05	
CG8361-RA.ifa	A	0	9	1	0	1	3	0	0	186	3.88	
CG10130-RA.ifa	A	0	0	0	0	0	4	1	0	97	2.53	
CG15883-RA.ifa	X	1	3	1	4	3	3	4	2	113	2.00	
CG16874-RA.ifa	A	1	5	4	0	1	10	2	3	116	4.28	
CG5064-RA.ifa	A	0	19	5	5	3	19	19	2	602	3.66	
CG7223-RA.ifa	A	6	74	0	1	0	36	13	6	726	3.74	
CG18087-RA.ifa	A	1	2	0	0	7	2	1	3	74	3.93	
CG12908-RA.ifa	A	17	54	9	5	0	49	19	6	1112	4.37	
CG2047-RA.ifa	A	3	13	6	2	2	10	7	3	410	4.03	
CG2788-RA.ifa	A	17	43	4	0	1	21	9	10	443	4.52	
CG10781-RA.ifa	X	0	0	4	1	7	1	2	8	86	2.00	
CG1365-RA.ifa	A	2	3	0	1	0	2	0	1	63	5.37	
CG9653-RA.ifa	X	1	9	4	2	2	11	7	3	538	3.16	
CG3578-RA.ifa	X	0	8	1	0	4	14	7	2	693	3.29	
CG1030-RA.ifa	A	0	6	0	0	2	19	9	2	417	4.50	
CG12653-RA.ifa	X	0	4	1	3	1	21	9	6	641	3.52	
CG12249-RA.ifa	A	1	60	6	4	0	23	13	4	829	4.70	
CG11797-RA.ifa	A	1	9	4	4	3	2	0	1	139	5.38	
CG8337-RA.ifa	A	2	6	1	1	0	4	0	0	138	5.30	
CG5893-RA.ifa	A	0	11	0	0	1	6	6	2	356	3.12	
CG6824-RA.ifa	X	2	15	4	8	5	27	12	4	917	3.18	
CG10108-RA.ifa	A	4	6	5	1	9	11	10	6	400	4.18	
CG6519-RA.ifa	A	3	3	1	1	4	5	3	3	115	5.98	
CG17228-RA.ifa	A	3	38	3	1	0	37	15	5	1208	3.03	
CG1851-RA.ifa	A	9	23	1	1	1	13	5	3	366	3.59	
CG1751-RA.ifa	X	0	2	0	0	1	5	1	1	182	3.07	
CG3830-RA.ifa	A	1	8	2	1	0	11	3	2	453	4.74	
CG5490-RA.ifa	A	5	63	12	6	11	49	28	18	1096	3.32	
CG12743-RA.ifa	X	7	23	12	13	22	13	19	7	591	2.99	
CG10036-RA.ifa	A	0	11	0	0	0	12	1	1	264	4.09	
CG9359-RA.ifa	A	0	26	0	0	0	21	15	1	446	4.64	
CG30141-RA.ifa	A	6	5	6	2	1	1	4	2	147	3.22	
CG15151-RA.ifa	A	3	23	6	0	0	21	9	3	721	3.60	
CG18085-RA.ifa	X	36	171	29	8	18	131	60	31	2506	3.95	
CG6578-RA.ifa	X	3	35	4	5	6	21	17	1	574	4.25	
CG11798-RA.ifa	A	3	24	4	1	0	25	8	6	1088	3.33	
CG3851-RA.ifa	A	4	19	4	1	1	10	1	2	392	4.19	
CG2939-RA.ifa	A	5	40	1	1	3	16	4	4	417	3.97	
CG8246-RA.ifa	A	3	25	1	0	1	13	7	4	425	4.88	
CG13421-RA.ifa	A	3	7	4	1	2	9	2	2	149	3.38	
CG13874-RA.ifa	A	3	3	1	1	2	4	0	1	134	4.87	
CG7450-RA.ifa	A	3	4	4	0	1	10	5	2	508	3.09	
CG3048-RA.ifa	A	1	17	0	0	0	21	8	4	486	4.02	
CG2985-RA.ifa	X	0	2	3	1	0	13	2	1	439	3.60	
