region	chr_arm	start	end
CE1000	3L	17584383	17585054
CE1004	3L	8640795	8641343
CE1006	3L	14063388	14063461
CE1007	2R	5447092	5447330
CE1008	X	10924641	10925118
CE1010	2L	2445768	2446580
CE1012	3L	8639023	8639956
CE1013	2R	5487312	5487824
CE1014	3R	4526528	4527944
CE1016	3R	2611055	2613713
CE1018	3R	17382901	17383486
CE1019	2L	2454605	2454756
CE1020	3R	17497407	17497685
CE1021	2R	5490725	5491230
CE1022	3R	17205669	17206042
CE1025	2R	18553274	18553936
CE1026	3R	14530829	14531165
CE1027	2R	5485688	5485890
CE1028	3R	9720483	9720788
CE1029	3R	12636228	12637974
CE1030	2L	11455638	11456155
CE1031	2R	7043574	7044213
CE1032	3R	17203781	17205010
CE1034	3R	12526644	12527144
CE1035	3L	20630363	20631481
CE1036	2R	5496861	5497749
CE1037	2R	19849843	19849969
CE1038	X	4231703	4233191
CE1039	3L	14042174	14044600
CE1041	2L	2452152	2452471
CE1042	3R	2830803	2831280
CE1047	3R	17458890	17459274
CE1048	2R	16690690	16691112
CE1049	3R	2758361	2760662
CE1050	2R	20563925	20564959
CE1051	2R	19841682	19841862
CE1054	2R	16406095	16407907
CE1055	2L	3823118	3824696
CE1056	2R	5489523	5490195
CE1057	3R	2912163	2913017
CE1058	3R	12559789	12560360
CE1061	2L	13904731	13905265
CE1062	2R	19811754	19812076
CE1064	3L	14722407	14723845
CE1067	2R	2942898	2943326
CE1068	3R	12589355	12590918
CE1069	3R	17209338	17209690
CE1073	2R	19816618	19816978
CE1074	3R	26676774	26677274
CE1075	3L	18730461	18731067
CE1076	3R	2579902	2581525
CE1077	3L	1445322	1445647
CE1078	2L	15474198	15476199
CE1079	2R	20310381	20311272
CE1080	2R	8404780	8405535
CE1081	2R	8412079	8412883
CE1082	3L	6758911	6759427
CE1083	3L	8644025	8644328
CE1084	X	1996366	1996806
CE1085	X	1981449	1981745
CE1086	X	1980273	1980606
CE1088	3R	7775364	7775488
CE1089	3L	8638309	8639221
CE1090	2R	14380304	14380707
CE1094	2R	7714033	7714826
CE1098	2R	5608657	5608991
CE1099	X	3105441	3106264
CE1101	X	5746769	5747241
CE1102	3R	8895635	8898460
CE1103	3L	11486022	11486184
CE1104	3L	11485521	11485585
CE1105	3L	17552762	17553085
CE1106	3L	15622619	15623045
CE1107	X	252440	252693
CE1108	X	249784	250141
CE1109	3L	21021347	21022328
CE1110	X	10590146	10590467
CE1112	3L	9354182	9354530
CE1115	3R	2827205	2827388
CE1116	3R	2825808	2826148
CE1118	3R	2823441	2823507
CE1121	3R	2689374	2690045
CE1122	3L	15005653	15005868
CE1123	X	9132382	9132664
CE1126	X	4129700	4134947
CE1127	3R	2683637	2686199
CE1128	3L	8702292	8702428
CE1129	2L	4883103	4883234
CE1131	2L	11454343	11455436
CE1132	3L	20640520	20641212
CE1133	X	7375460	7376129
CE1134	2R	15777560	15778107
CE1135	3L	1069238	1069830
CE1136	3L	1158927	1159145
CE1138	2L	14614893	14616302
CE1140	3R	7788458	7789554
CE1141	X	8334617	8335161
CE1144	X	6936861	6938073
CE1145	3R	19105085	19106451
CE1146	X	4908617	4909698
CE1147	3R	14200149	14200999
CE1148	3R	15713875	15714387
CE1149	2R	7044399	7044957
CE1150	2R	7041147	7042908
CE1151	3R	19685239	19685733
CE1152	3R	2691949	2692335
CE1155	X	5745884	5746315
CE1156	3L	9357355	9357576
CE1157	3L	8700106	8700428
CE1159	3R	26677662	26678030
CE1160	2L	2469788	2471532
CE1161	2L	2455937	2457661
CE1162	3R	4520300	4524677
CE1164	2L	19115389	19118952
CE1169	3R	7799721	7799941
CE1170	3L	11533251	11533361
CE1172	X	2033396	2033534
CE1173	3R	13210846	13211094
CE1174	2R	16705698	16705822
CE1175	X	12464291	12464442
CE1176	3R	13520975	13521188
CE1177	3R	21067232	21067420
CE1178	3L	5552729	5552949
CE1179	2R	5827222	5827336
CE1181	3R	12598627	12600114
CE1182	3R	23064563	23065162
CE1184	3R	2507112	2507664
CE1185	3R	2824411	2825376
CE1186	2R	18552705	18553147
CE1187	X	2652700	2654032
CE1188	X	2651290	2651409
CE1189	3R	12562550	12563348
CE1190	3R	12481453	12481572
CE1191	2L	2450830	2450949
CE1192	X	2304109	2304228
CE1193	3R	7783054	7784301
CE1194	3L	9351120	9351835
CE1195	3L	3176580	3176788
CE1196	3R	21865315	21866073
CE1197	X	225956	226803
CE1198	X	265572	266544
CE1199	X	9898752	9899079
CE1200	3R	22997005	22997817
CE1201	3R	9723513	9724763
CE1204	3R	2687125	2689005
CE1205	X	6938110	6939513
